nombre,nivel,zona,distancia,pendiente_media,desnivel,url
●,2ªCat,Valle de Ansó,6.0,5.60%%,345,https://www.puyatasmaestras.com/tacheras/
●,1ªCat,Sierra Forcala,12.3,6.10%%,855,https://www.puyatasmaestras.com/sierra-de-forcala/
●,2ªCat,Valle de Hecho,10.6,4.60%%,503,https://www.puyatasmaestras.com/aguas-tuertas/
●,1ªCat,Valle de Aísa,10.3,6.50%%,685,https://www.puyatasmaestras.com/puerto-de-aisa/
●,HC,Valle del Aragón,18.1,6.90%%,1260,https://www.puyatasmaestras.com/refugio-lopez-huici/
●,1ªCat,Valle del Aragón,13.8,5.60%%,822,https://www.puyatasmaestras.com/refugio-de-la-trapa/
●,1ªCat,La Garcipollera,10.3,7%%,729,https://www.puyatasmaestras.com/punta-de-la-selva/
●,1ªCat,Sabiñánigo,16.0,4.80%%,862,https://www.puyatasmaestras.com/san-cocoba-olivan/
●,2ªCat,Valle de Acumuer,8.7,6.20%%,536,https://www.puyatasmaestras.com/monte-bolas/
●,1ªCat,Valle de Tena,11.1,6.60%%,727,https://www.puyatasmaestras.com/ibonciecho/
●,HC,Valle de Tena,7.1,9.40%%,739,https://www.puyatasmaestras.com/ibon-do-porte/
●,HC,Valle de Tena,10.2,7.80%%,839,https://www.puyatasmaestras.com/refugio-del-verde/
●,HC,Valle de Tena,12.3,7.90%%,985,https://www.puyatasmaestras.com/ibon-de-los-asnos/
●,HC,Valle de Broto,14.1,7.40%%,1052,https://www.puyatasmaestras.com/el-zebollar/
●,HC,Ordesa,14.3,8.10%%,1255,https://www.puyatasmaestras.com/punta-estaton/
●,1ªCat,Sierras de Fiscal,14.6,6.20%%,934,https://www.puyatasmaestras.com/el-cuello-de-burgase/
●,2ªCat,Sierras de Fiscal,8.4,6.10%%,585,https://www.puyatasmaestras.com/borda-da-chunta-punta-comiello/
●,HC,Valle de Puértolas,18.0,6.30%%,1218,https://www.puyatasmaestras.com/montana-de-sesa/
●,HC,Valle de Bielsa,16.5,8.80%%,1458,https://www.puyatasmaestras.com/punta-liena/
●,HC,Bal de Chistau,15.7,8%%,1258,https://www.puyatasmaestras.com/la-cruz-de-guardia/
●,HC,Bal de Chistau,14.5,7.20%%,1083,https://www.puyatasmaestras.com/ibon-de-plan/
●,HC,Valle de Benasque,16.6,6.80%%,1149,https://www.puyatasmaestras.com/puerto-de-sahun/
●,2ªCat,Laspaúles,7.1,6.70%%,503,https://www.puyatasmaestras.com/collada-de-llanarroya/
●,HC,Valle de Castanesa,11.9,8.80%%,1085,https://www.puyatasmaestras.com/telesilla-de-basibe/
●,HC,Turbón,7.4,12.60%%,931,https://www.puyatasmaestras.com/refugio-del-turbon/
●,1ªCat,Turbón,9.4,7.30%%,685,https://www.puyatasmaestras.com/refugio-de-la-margalida/
●,3ªCat,Zaragoza,4.35,6.70%%,292,https://www.puyatasmaestras.com/mirador-de-las-planas/
●,2ªCat,Zaragoza,9.2,4.50%%,435,https://www.puyatasmaestras.com/san-caprasio/
●,3ªCat,Zaragoza,3.9,6.50%%,258,https://www.puyatasmaestras.com/mirador-de-torrecilla/
●,1ªCat,Huesca,16.3,5.40%%,908,https://www.puyatasmaestras.com/pico-del-aguila/
●,3ªCat,Huesca,6.5,4.10%%,277,https://www.puyatasmaestras.com/refugio-la-pajera/
●,HC,Zaragoza,9.8,7.90%%,808,https://www.puyatasmaestras.com/sierra-de-santo-domingo/
●,3ªCat,Zaragoza,6.2,4.70%%,293,https://www.puyatasmaestras.com/sancho-abarca/
●,2ªCat,Zaragoza,3.2,10.20%%,324,https://www.puyatasmaestras.com/montnegre/
●,3ªCat,Huesca,9.0,4%%,371,https://www.puyatasmaestras.com/alto-de-piedrafita/
●,3ªCat,Zaragoza,4.0,5.30%%,216,https://www.puyatasmaestras.com/monlora/
●,HC,Huesca,8.5,8.50%%,778,https://www.puyatasmaestras.com/pico-bunero/
●,HC,Zaragoza,10.9,6.60%%,877,https://www.puyatasmaestras.com/pico-del-rayo/
●,2ªCat,La Garcipollera,7.9,7%%,587,https://www.puyatasmaestras.com/cerro-la-vall/
●,2ªCat,Huesca,2.8,9.60%%,279,https://www.puyatasmaestras.com/mirador-de-campo-royo/
●,1ªCat,Jacetania,7.7,9.10%%,706,https://www.puyatasmaestras.com/ermita-de-la-virgen-de-la-pena/
●,2ªCat,Valle de Tena,11.0,4.70%%,527,https://www.puyatasmaestras.com/la-partacua/
●,1ªCat,Fiscal,12.7,6.30%%,855,https://www.puyatasmaestras.com/sierra-berroy/
●,HC,Campo,9.1,9.60%%,883,https://www.puyatasmaestras.com/punta-cornuchuelo/
●,HC,Tierra de Biescas,14.7,7.60%%,1190,https://www.puyatasmaestras.com/erata/
●,1ªCat,Sabiñánigo,9.9,7.70%%,776,https://www.puyatasmaestras.com/punta-gue/
●,HC,Valle de Bielsa,10.8,11.10%%,1200,https://www.puyatasmaestras.com/ibon-de-urdiceto/
●,HC,Valle de Aisa,17.2,7%%,1191,https://www.puyatasmaestras.com/cronoescalada-tourmalet-1910/
●,3ªCat,Valle de Aisa,1.75,8.80%%,152,https://www.puyatasmaestras.com/cima-javierre/
●,3ªCat,Valle de Tena,4.1,6%%,243,https://www.puyatasmaestras.com/puerto-de-formigal/
●,HC,Ordesa,14.4,8.50%%,1243,https://www.puyatasmaestras.com/miradores-de-ordesa-torla/
●,HC,Ordesa,13.4,7.80%%,1056,https://www.puyatasmaestras.com/miradores-de-ordesa-nerin/
●,HC,Valle de Benasque,15.5,8.70%%,1350,https://www.puyatasmaestras.com/pedras-blancas/
●,HC,Bal de Chistau,12.0,7.90%%,945,https://www.puyatasmaestras.com/puerto-de-sahun-plan/
●,1ªCat,Valle de Basa,13.4,5.90%%,801,https://www.puyatasmaestras.com/san-cocoba-yebra-de-basa/
●,HC,Valle de Barrabés,12.1,7.40%%,903,https://www.puyatasmaestras.com/embalse-de-llauset/
●,HC,Valle de Pineta,11.7,7.70%%,905,https://www.puyatasmaestras.com/la-estiva/
●,HC,Sierra de las Sucas,17.5,7.90%%,1387,https://www.puyatasmaestras.com/tella-sierra-de-las-sucas/
●,2ªCat,Ainsa Sobrarbe,6.1,7.40%%,456,https://www.puyatasmaestras.com/collado-de-san-crabas-muro-de-bellos/
●,1ªCat,Valle de Aisa,6.7,8.20%%,577,https://www.puyatasmaestras.com/monte-pietrola/
●,2ªCat,Cotefablo,6.8,6.90%%,480,https://www.puyatasmaestras.com/refugio-de-la-faja-o-de-linas/
●,1ªCat,Valle de Tena,12.6,5.60%%,706,https://www.puyatasmaestras.com/la-partacua-piedrafita-de-jaca/
●,2ªCat,Boltaña,4.1,9.50%%,393,https://www.puyatasmaestras.com/ascaso/
●,2ªCat,Biescas,5.1,8.70%%,441,https://www.puyatasmaestras.com/selva-de-lasieso/
●,HC,Sierra Caballera,13.9,6.50%%,966,https://www.puyatasmaestras.com/pico-caballera/
●,HC,Montsec,14.9,7.20%%,1110,https://www.puyatasmaestras.com/san-mamet/
●,HC,Pirineo Francés,7.0,11.30%%,787,https://www.puyatasmaestras.com/estacion-de-artouste/
●,1ªCat,Laspaúles,12.4,6.70%%,920,https://www.puyatasmaestras.com/collada-de-llanarroya-llaunas/
●,HC,Pirineo Francés,24.6,8.80%%,2167,https://www.puyatasmaestras.com/pic-du-midi-de-bigorre/
●,2ªCat,Huesca,10.8,5.20%%,571,https://www.puyatasmaestras.com/monrepos/
●,1ªCat,Valle de Benasque,14.6,5.80%%,844,https://www.puyatasmaestras.com/refugio-de-coronas/
●,1ªCat,Tierra de Biescas,15.6,5.10%%,840,https://www.puyatasmaestras.com/barranco-del-puerto/
●,HC,Valle de Broto,11.5,10.50%%,1229,https://www.puyatasmaestras.com/manchoya/
●,1ªCat,Montsec Ribagorza,7.0,7.30%%,557,https://www.puyatasmaestras.com/coll-de-vent/
●,HC,Pirineo Francés,25.5,5.90%%,1498,https://www.puyatasmaestras.com/la-pierre-saint-martin/
●,1ªCat,Valle de Hecho,5.6,9.00%%,526,https://www.puyatasmaestras.com/sierra-de-los-dos-rios/
●,1ªCat,Valle de Broto,6.2,8.40%%,545,https://www.puyatasmaestras.com/puerto-de-yosa/
●,1ªCat,Sobrepuerto,6.1,7.50%%,478,https://www.puyatasmaestras.com/puerto-de-yosa/
●,HC,Bal de Chistau,15.3,6.90%%,1061,https://www.puyatasmaestras.com/cruz-de-guardia-plan/
●,HC,Valle del Ara,9.9,10.90%%,1078,https://www.puyatasmaestras.com/punta-corona/
●,2ªCat,Boltaña,5.7,7.20%%,411,https://www.puyatasmaestras.com/silves-y-aguilar/
●,HC,Peña Montañesa,9.4,10.00%%,940,https://www.puyatasmaestras.com/la-collada/
●,1ªCat,Montsec Ribagorza,13.7,5.90%%,864,https://www.puyatasmaestras.com/el-chordal/
●,HC,Teruel Montañas Vacías,39.0,3.30%%,1671,https://www.puyatasmaestras.com/pico-javalambre/
